iter	Passed	Remaining
1469	15423	37037
1470	15431	37021
1471	15439	37003
1472	15446	36986
1473	15454	36969
1474	15465	36959
1475	15473	36943
1476	15483	36931
1477	15492	36918
1478	15502	36905
1479	15510	36889
1480	15517	36871
1481	15525	36853
1482	15532	36835
1483	15542	36823
1484	15550	36808
1485	15558	36791
1486	15566	36775
1487	15573	36757
1488	15582	36742
1489	15589	36725
1490	15597	36707
1491	15605	36692
1492	15613	36676
1493	15620	36657
1494	15628	36640
1495	15635	36622
1496	15643	36605
1497	15651	36588
1498	15661	36578
1499	15669	36561
1500	15677	36544
1501	15684	36526
1502	15691	36508
1503	15699	36492
1504	15713	36491
1505	15726	36487
1506	15737	36478
1507	15765	36508
1508	15783	36513
1509	15801	36521
1510	15828	36548
1511	15845	36554
1512	15868	36572
1513	15895	36599
1514	15914	36609
1515	15923	36593
1516	15933	36584
1517	15944	36572
1518	15955	36565
1519	15964	36549
1520	15972	36533
1521	15979	36515
1522	15986	36497
1523	15994	36481
1524	16002	36463
1525	16009	36446
1526	16017	36429
1527	16025	36413
1528	16034	36399
1529	16043	36385
1530	16050	36367
1531	16059	36354
1532	16066	36335
1533	16075	36321
1534	16082	36303
1535	16091	36289
1536	16101	36279
1537	16109	36262
1538	16117	36245
1539	16125	36229
1540	16132	36211
1541	16140	36194
1542	16147	36178
1543	16159	36169
1544	16169	36159
1545	16178	36144
1546	16186	36130
1547	16194	36114
1548	16202	36097
1549	16209	36080
1550	16217	36062
1551	16225	36046
1552	16232	36028
1553	16240	36012
1554	16248	35996
1555	16256	35981
1556	16263	35963
1557	16271	35947
1558	16278	35929
1559	16286	35914
1560	16294	35897
1561	16302	35883
1562	16309	35865
1563	16317	35848
1564	16324	35830
1565	16332	35814
1566	16340	35799
1567	16350	35787
1568	16358	35770
1569	16365	35754
1570	16375	35742
1571	16395	35753
1572	16407	35747
1573	16418	35736
1574	16425	35719
1575	16435	35707
1576	16444	35693
1577	16453	35679
1578	16461	35663
1579	16470	35651
1580	16478	35636
1581	16488	35623
1582	16497	35610
1583	16505	35595
1584	16514	35581
1585	16526	35573
1586	16540	35572
1587	16553	35568
1588	16568	35565
1589	16593	35588
1590	16611	35593
1591	16625	35589
1592	16640	35589
1593	16652	35582
1594	16663	35572
1595	16671	35556
1596	16680	35543
1597	16687	35527
1598	16697	35515
1599	16708	35504
1600	16722	35502
1601	16748	35526
1602	16766	35530
1603	16783	35534
1604	16797	35530
1605	16804	35513
1606	16814	35501
1607	16821	35484
1608	16831	35471
1609	16841	35462
1610	16853	35454
1611	16870	35457
1612	16881	35448
1613	16890	35433
1614	16901	35424
1615	16912	35415
1616	16920	35399
1617	16931	35390
1618	16942	35380
1619	16952	35370
1620	16966	35365
1621	16980	35364
1622	16994	35360
1623	17002	35344
1624	17011	35332
1625	17019	35316
1626	17032	35309
1627	17042	35299
1628	17049	35282
1629	17057	35267
1630	17065	35251
1631	17076	35240
1632	17086	35230
1633	17098	35223
1634	17108	35211
1635	17116	35195
1636	17127	35186
1637	17137	35174
1638	17144	35158
1639	17153	35143
1640	17161	35127
1641	17169	35113
1642	17177	35097
1643	17186	35084
1644	17194	35068
1645	17202	35053
1646	17209	35036
1647	17217	35020
1648	17226	35006
1649	17237	34997
1650	17244	34980
1651	17251	34963
1652	17259	34946
1653	17266	34929
1654	17275	34916
1655	17284	34903
1656	17292	34886
1657	17301	34874
1658	17315	34870
1659	17331	34872
1660	17343	34865
1661	17355	34857
1662	17363	34842
1663	17372	34828
1664	17380	34812
1665	17387	34795
1666	17394	34778
1667	17402	34762
1668	17409	34745
1669	17416	34729
1670	17428	34720
